PRESIDENT 2012
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Florida,20121106,N/A,COLLIER,County,"149,112","96,520","Romney, W. Mitt",Challenger,"51,698","Obama, Barack H.",Incumbent,Libertarian,604,"Johnson, Gary E.",Challenger,290,"44,822",R,64.73,34.67,.41,.19,65.12,34.88,"The other vote was: Hoefling, Thomas (American Independent) 5; Barr, Roseanne (Peace and Freedom) 68; Stevens, Thomas Robert (Objectivist) 34; Barnett, Andre (Reform) 10; Lindsay, Peta (Socialism and Liberation) 7; Stein, Jill (Green) 111; Goode, Virgil H. Jr. (Write-in) 32; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 18; Alexander, Stewart (Socialist) 5",,"The other vote was: Hoefling, Thomas (American Independent) 5; Barr, Roseanne (Peace and Freedom) 68; Stevens, Thomas Robert (Objectivist) 34; Barnett, Andre (Reform) 10; Lindsay, Peta (Socialism and Liberation) 7; Stein, Jill (Green) 111; Goode, Virgil H. Jr. (Write-in) 32; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 18; Alexander, Stewart (Socialist) 5"
President,Florida,20121106,N/A,COLUMBIA,County,"27,163","18,429","Romney, W. Mitt",Challenger,"8,462","Obama, Barack H.",Incumbent,Libertarian,143,"Johnson, Gary E.",Challenger,129,"9,967",R,67.85,31.15,.53,.47,68.53,31.47,"The other vote was: Hoefling, Thomas (American Independent) 6; Barr, Roseanne (Peace and Freedom) 43; Stevens, Thomas Robert (Objectivist) 22; Barnett, Andre (Reform) 3; Lindsay, Peta (Socialism and Liberation) 2; Stein, Jill (Green) 35; Goode, Virgil H. Jr. (Write-in) 12; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 5; Alexander, Stewart (Socialist) 1",,"The other vote was: Hoefling, Thomas (American Independent) 6; Barr, Roseanne (Peace and Freedom) 43; Stevens, Thomas Robert (Objectivist) 22; Barnett, Andre (Reform) 3; Lindsay, Peta (Socialism and Liberation) 2; Stein, Jill (Green) 35; Goode, Virgil H. Jr. (Write-in) 12; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 5; Alexander, Stewart (Socialist) 1"
President,Florida,20121106,N/A,DESOTO,County,"9,865","5,587","Romney, W. Mitt",Challenger,"4,174","Obama, Barack H.",Incumbent,Libertarian,48,"Johnson, Gary E.",Challenger,56,"1,413",R,56.63,42.31,.49,.57,57.24,42.76,"The other vote was: Hoefling, Thomas (American Independent) 3; Barr, Roseanne (Peace and Freedom) 19; Stevens, Thomas Robert (Objectivist) 9; Barnett, Andre (Reform) 2; Lindsay, Peta (Socialism and Liberation) 1; Stein, Jill (Green) 13; Goode, Virgil H. Jr. (Write-in) 4; Scattered Write-In (Write-in) 2; Anderson, Ross C. (Justice) 3; Alexander, Stewart (Socialist) 0",,"The other vote was: Hoefling, Thomas (American Independent) 3; Barr, Roseanne (Peace and Freedom) 19; Stevens, Thomas Robert (Objectivist) 9; Barnett, Andre (Reform) 2; Lindsay, Peta (Socialism and Liberation) 1; Stein, Jill (Green) 13; Goode, Virgil H. Jr. (Write-in) 4; Scattered Write-In (Write-in) 2; Anderson, Ross C. (Justice) 3; Alexander, Stewart (Socialist) 0"
President,Florida,20121106,N/A,DIXIE,County,"6,941","5,052","Romney, W. Mitt",Challenger,"1,798","Obama, Barack H.",Incumbent,Libertarian,27,"Johnson, Gary E.",Challenger,64,"3,254",R,72.78,25.90,.39,.92,73.75,26.25,"The other vote was: Hoefling, Thomas (American Independent) 2; Barr, Roseanne (Peace and Freedom) 32; Stevens, Thomas Robert (Objectivist) 11; Barnett, Andre (Reform) 0; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 11; Goode, Virgil H. Jr. (Write-in) 2; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 6; Alexander, Stewart (Socialist) 0",,"The other vote was: Hoefling, Thomas (American Independent) 2; Barr, Roseanne (Peace and Freedom) 32; Stevens, Thomas Robert (Objectivist) 11; Barnett, Andre (Reform) 0; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 11; Goode, Virgil H. Jr. (Write-in) 2; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 6; Alexander, Stewart (Socialist) 0"
President,Florida,20121106,N/A,DUVAL,County,"411,848","211,615","Romney, W. Mitt",Challenger,"196,737","Obama, Barack H.",Incumbent,Libertarian,"2,325","Johnson, Gary E.",Challenger,"1,171","14,878",R,51.38,47.77,.56,.28,51.82,48.18,"The other vote was: Hoefling, Thomas (American Independent) 51; Barr, Roseanne (Peace and Freedom) 275; Stevens, Thomas Robert (Objectivist) 164; Barnett, Andre (Reform) 42; Lindsay, Peta (Socialism and Liberation) 15; Stein, Jill (Green) 398; Goode, Virgil H. Jr. (Write-in) 133; Scattered Write-In (Write-in) 1; Anderson, Ross C. (Justice) 68; Alexander, Stewart (Socialist) 24",,"The other vote was: Hoefling, Thomas (American Independent) 51; Barr, Roseanne (Peace and Freedom) 275; Stevens, Thomas Robert (Objectivist) 164; Barnett, Andre (Reform) 42; Lindsay, Peta (Socialism and Liberation) 15; Stein, Jill (Green) 398; Goode, Virgil H. Jr. (Write-in) 133; Scattered Write-In (Write-in) 1; Anderson, Ross C. (Justice) 68; Alexander, Stewart (Socialist) 24"
President,Florida,20121106,N/A,ESCAMBIA,County,"148,502","88,711","Romney, W. Mitt",Challenger,"58,185","Obama, Barack H.",Incumbent,Libertarian,"1,005","Johnson, Gary E.",Challenger,601,"30,526",R,59.74,39.18,.68,.40,60.39,39.61,"The other vote was: Hoefling, Thomas (American Independent) 30; Barr, Roseanne (Peace and Freedom) 175; Stevens, Thomas Robert (Objectivist) 69; Barnett, Andre (Reform) 18; Lindsay, Peta (Socialism and Liberation) 4; Stein, Jill (Green) 148; Goode, Virgil H. Jr. (Write-in) 115; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 27; Alexander, Stewart (Socialist) 15",,"The other vote was: Hoefling, Thomas (American Independent) 30; Barr, Roseanne (Peace and Freedom) 175; Stevens, Thomas Robert (Objectivist) 69; Barnett, Andre (Reform) 18; Lindsay, Peta (Socialism and Liberation) 4; Stein, Jill (Green) 148; Goode, Virgil H. Jr. (Write-in) 115; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 27; Alexander, Stewart (Socialist) 15"
President,Florida,20121106,N/A,FLAGLER,County,"50,595","26,969","Romney, W. Mitt",Challenger,"23,207","Obama, Barack H.",Incumbent,Libertarian,252,"Johnson, Gary E.",Challenger,167,"3,762",R,53.30,45.87,.50,.33,53.75,46.25,"The other vote was: Hoefling, Thomas (American Independent) 5; Barr, Roseanne (Peace and Freedom) 61; Stevens, Thomas Robert (Objectivist) 24; Barnett, Andre (Reform) 2; Lindsay, Peta (Socialism and Liberation) 2; Stein, Jill (Green) 45; Goode, Virgil H. Jr. (Write-in) 18; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 7; Alexander, Stewart (Socialist) 3",,"The other vote was: Hoefling, Thomas (American Independent) 5; Barr, Roseanne (Peace and Freedom) 61; Stevens, Thomas Robert (Objectivist) 24; Barnett, Andre (Reform) 2; Lindsay, Peta (Socialism and Liberation) 2; Stein, Jill (Green) 45; Goode, Virgil H. Jr. (Write-in) 18; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 7; Alexander, Stewart (Socialist) 3"
President,Florida,20121106,N/A,FRANKLIN,County,"5,474","3,570","Romney, W. Mitt",Challenger,"1,845","Obama, Barack H.",Incumbent,Libertarian,19,"Johnson, Gary E.",Challenger,40,"1,725",R,65.22,33.70,.35,.73,65.93,34.07,"The other vote was: Hoefling, Thomas (American Independent) 1; Barr, Roseanne (Peace and Freedom) 15; Stevens, Thomas Robert (Objectivist) 7; Barnett, Andre (Reform) 0; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 8; Goode, Virgil H. Jr. (Write-in) 4; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 5; Alexander, Stewart (Socialist) 0",,"The other vote was: Hoefling, Thomas (American Independent) 1; Barr, Roseanne (Peace and Freedom) 15; Stevens, Thomas Robert (Objectivist) 7; Barnett, Andre (Reform) 0; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 8; Goode, Virgil H. Jr. (Write-in) 4; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 5; Alexander, Stewart (Socialist) 0"
President,Florida,20121106,N/A,GADSDEN,County,"22,499","6,630","Romney, W. Mitt",Challenger,"15,770","Obama, Barack H.",Incumbent,Libertarian,54,"Johnson, Gary E.",Challenger,45,"9,140",D,29.47,70.09,.24,.20,29.60,70.40,"The other vote was: Hoefling, Thomas (American Independent) 1; Barr, Roseanne (Peace and Freedom) 14; Stevens, Thomas Robert (Objectivist) 10; Barnett, Andre (Reform) 3; Lindsay, Peta (Socialism and Liberation) 1; Stein, Jill (Green) 8; Goode, Virgil H. Jr. (Write-in) 2; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 4; Alexander, Stewart (Socialist) 2",,"The other vote was: Hoefling, Thomas (American Independent) 1; Barr, Roseanne (Peace and Freedom) 14; Stevens, Thomas Robert (Objectivist) 10; Barnett, Andre (Reform) 3; Lindsay, Peta (Socialism and Liberation) 1; Stein, Jill (Green) 8; Goode, Virgil H. Jr. (Write-in) 2; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 4; Alexander, Stewart (Socialist) 2"
President,Florida,20121106,N/A,GILCHRIST,County,"7,909","5,917","Romney, W. Mitt",Challenger,"1,885","Obama, Barack H.",Incumbent,Libertarian,58,"Johnson, Gary E.",Challenger,49,"4,032",R,74.81,23.83,.73,.62,75.84,24.16,"The other vote was: Hoefling, Thomas (American Independent) 5; Barr, Roseanne (Peace and Freedom) 20; Stevens, Thomas Robert (Objectivist) 13; Barnett, Andre (Reform) 0; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 5; Goode, Virgil H. Jr. (Write-in) 1; Scattered Write-In (Write-in) 1; Anderson, Ross C. (Justice) 2; Alexander, Stewart (Socialist) 2",,"The other vote was: Hoefling, Thomas (American Independent) 5; Barr, Roseanne (Peace and Freedom) 20; Stevens, Thomas Robert (Objectivist) 13; Barnett, Andre (Reform) 0; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 5; Goode, Virgil H. Jr. (Write-in) 1; Scattered Write-In (Write-in) 1; Anderson, Ross C. (Justice) 2; Alexander, Stewart (Socialist) 2"
President,Florida,20121106,N/A,GLADES,County,"3,989","2,344","Romney, W. Mitt",Challenger,"1,603","Obama, Barack H.",Incumbent,Libertarian,11,"Johnson, Gary E.",Challenger,31,741,R,58.76,40.19,.28,.78,59.39,40.61,"The other vote was: Hoefling, Thomas (American Independent) 6; Barr, Roseanne (Peace and Freedom) 14; Stevens, Thomas Robert (Objectivist) 4; Barnett, Andre (Reform) 0; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 7; Goode, Virgil H. Jr. (Write-in) 0; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 0; Alexander, Stewart (Socialist) 0",,"The other vote was: Hoefling, Thomas (American Independent) 6; Barr, Roseanne (Peace and Freedom) 14; Stevens, Thomas Robert (Objectivist) 4; Barnett, Andre (Reform) 0; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 7; Goode, Virgil H. Jr. (Write-in) 0; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 0; Alexander, Stewart (Socialist) 0"
President,Florida,20121106,N/A,GULF,County,"7,108","4,995","Romney, W. Mitt",Challenger,"2,014","Obama, Barack H.",Incumbent,Libertarian,40,"Johnson, Gary E.",Challenger,59,"2,981",R,70.27,28.33,.56,.83,71.27,28.73,"The other vote was: Hoefling, Thomas (American Independent) 1; Barr, Roseanne (Peace and Freedom) 28; Stevens, Thomas Robert (Objectivist) 6; Barnett, Andre (Reform) 1; Lindsay, Peta (Socialism and Liberation) 1; Stein, Jill (Green) 15; Goode, Virgil H. Jr. (Write-in) 4; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 2; Alexander, Stewart (Socialist) 1",,"The other vote was: Hoefling, Thomas (American Independent) 1; Barr, Roseanne (Peace and Freedom) 28; Stevens, Thomas Robert (Objectivist) 6; Barnett, Andre (Reform) 1; Lindsay, Peta (Socialism and Liberation) 1; Stein, Jill (Green) 15; Goode, Virgil H. Jr. (Write-in) 4; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 2; Alexander, Stewart (Socialist) 1"
President,Florida,20121106,N/A,HAMILTON,County,"5,407","3,138","Romney, W. Mitt",Challenger,"2,228","Obama, Barack H.",Incumbent,Libertarian,14,"Johnson, Gary E.",Challenger,27,910,R,58.04,41.21,.26,.50,58.48,41.52,"The other vote was: Hoefling, Thomas (American Independent) 2; Barr, Roseanne (Peace and Freedom) 8; Stevens, Thomas Robert (Objectivist) 5; Barnett, Andre (Reform) 2; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 5; Goode, Virgil H. Jr. (Write-in) 3; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 1; Alexander, Stewart (Socialist) 1",,"The other vote was: Hoefling, Thomas (American Independent) 2; Barr, Roseanne (Peace and Freedom) 8; Stevens, Thomas Robert (Objectivist) 5; Barnett, Andre (Reform) 2; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 5; Goode, Virgil H. Jr. (Write-in) 3; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 1; Alexander, Stewart (Socialist) 1"
President,Florida,20121106,N/A,HARDEE,County,"7,226","4,696","Romney, W. Mitt",Challenger,"2,463","Obama, Barack H.",Incumbent,Libertarian,38,"Johnson, Gary E.",Challenger,29,"2,233",R,64.99,34.09,.53,.40,65.60,34.40,"The other vote was: Hoefling, Thomas (American Independent) 1; Barr, Roseanne (Peace and Freedom) 11; Stevens, Thomas Robert (Objectivist) 5; Barnett, Andre (Reform) 0; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 4; Goode, Virgil H. Jr. (Write-in) 5; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 2; Alexander, Stewart (Socialist) 1",,"The other vote was: Hoefling, Thomas (American Independent) 1; Barr, Roseanne (Peace and Freedom) 11; Stevens, Thomas Robert (Objectivist) 5; Barnett, Andre (Reform) 0; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 4; Goode, Virgil H. Jr. (Write-in) 5; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 2; Alexander, Stewart (Socialist) 1"
President,Florida,20121106,N/A,HENDRY,County,"10,185","5,355","Romney, W. Mitt",Challenger,"4,751","Obama, Barack H.",Incumbent,Libertarian,32,"Johnson, Gary E.",Challenger,47,604,R,52.58,46.65,.31,.46,52.99,47.01,"The other vote was: Hoefling, Thomas (American Independent) 1; Barr, Roseanne (Peace and Freedom) 18; Stevens, Thomas Robert (Objectivist) 10; Barnett, Andre (Reform) 2; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 7; Goode, Virgil H. Jr. (Write-in) 4; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 3; Alexander, Stewart (Socialist) 2",,"The other vote was: Hoefling, Thomas (American Independent) 1; Barr, Roseanne (Peace and Freedom) 18; Stevens, Thomas Robert (Objectivist) 10; Barnett, Andre (Reform) 2; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 7; Goode, Virgil H. Jr. (Write-in) 4; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 3; Alexander, Stewart (Socialist) 2"
